;;;;;;;;;;;;;;;;;22.874.636,98;;;
Sì/No (R);Chiave (S);Project ID (T);Comune (U);Comune (V);BU (W);Type of service (X);Type of Contract (Y);Dettaglio commessa (Z);Activity Code (AA);04 - Materiali (AB);02 - Servizi (AC);03 - Manodopera (AD);01 - Oneri (AE);Totale (AF);% ATI (AG);Capitalizzazioni (AH);Capitalizzazione + Costi indiretti (AI);Società (AJ);Stato;Nota
;;SEC-PHV-A515-03;diretti;Avezzano;Centre;Photovoltaic;Photovoltaic;COMUNE DI AVEZZANO : FOTOVOLTAICO AVEZZANO 5;;;;;;;;;49.844;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-I457-01;diretti;Sasso di Castalda PV;South;Photovoltaic;Photovoltaic;Comune di Sasso di Castalda : Fotovoltaico Sasso di Castalda;;;;;;;;;30,21;Civismart;;Fotovoltaico → Civismart sempre · classificazione: anagrafica CVS BU
;;SEC-PHV-D593-01;diretti;Filiano PV;South;Photovoltaic;Photovoltaic;Comune di Filiano : Fotovoltaico Filiano;;;;;;;;;80,56;Civismart;;Fotovoltaico → Civismart sempre · classificazione: anagrafica CVS BU
;;SEC-PHV-M269-01;diretti;Paterno PV;South;Photovoltaic;Photovoltaic;Comune di Paterno : Fotovoltaico Paterno;;;;;;;;;30,21;Civismart;;Fotovoltaico → Civismart sempre · classificazione: anagrafica CVS BU
;;SEC-PHV-F158-02;diretti;MESSINA;South;Photovoltaic;Photovoltaic;COMUNE DI MESSINA : FOTOVOLTAICO MESSINA;;;;;;;;;26.000;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-H882-01;diretti;San Giorgio Ionico;South;Photovoltaic;Photovoltaic;COMUNE DI SAN GIORGIO IONICO : FOTOVOLTAICO SAN GIORGIO IONICO;;;;;;;;;134.001,08;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-C978-01;indiretti;Copertino 1;South;Photovoltaic;Photovoltaic;COMUNE DI COPERTINO : FOTOVOLTAICO COPERTINO 1;;;;;;;;;98.044,73;Civismart;;Fotovoltaico → Civismart sempre · classificazione: anagrafica CVS BU
;;SEC-PHV-E058-01;indiretti;Giulianova;Centre;Photovoltaic;Photovoltaic;COMUNE DI GIULIANOVA : FOTOVOLTAICO GIULIANOVA;;;;;;;;;105.166,27;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-C844-01;indiretti;Collarmele;Centre;Photovoltaic;Photovoltaic;COMUNE DI COLLARMELE : FOTOVOLTAICO COLLARMELE;;;;;;;;;94.683,11;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-F690-01;indiretti;Montorio al Vomano;Centre;Photovoltaic;Photovoltaic;COMUNE DI MONTORIO AL VOMANO : FOTOVOLTAICO MONTORIO AL VOMANO 1;;;;;;;;;217.001,06;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-F690-03;indiretti;Montorio al Vomano;Centre;Photovoltaic;Photovoltaic;COMUNE DI MONTORIO AL VOMANO : FOTOVOLTAICO MONTORIO AL VOMANO 4;;;;;;;;;17.573,14;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-B792-01;indiretti;Carmiano;South;Photovoltaic;Photovoltaic;COMUNE DI CARMIANO : FOTOVOLTAICO CARMIANO;;;;;;;;;35.221,67;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-F690-02;indiretti;Montorio 3;Centre;Photovoltaic;Photovoltaic;COMUNE DI MONTORIO AL VOMANO : FOTOVOLTAICO MONTORIO AL VOMANO 3;;;;;;;;;86.669,89;Civismart;;Fotovoltaico → Civismart sempre · classificazione: anagrafica CVS BU
;;SEC-PHV-A515-02;indiretti;Avezzano;Centre;Photovoltaic;Photovoltaic;COMUNE DI AVEZZANO : FOTOVOLTAICO AVEZZANO 4;;;;;;;;;128.958,42;Civismart;;Fotovoltaico → Civismart sempre · classificazione: anagrafica CVS BU
;;SEC-PHV-C978-02;indiretti;Copertino;South;Photovoltaic;Photovoltaic;COMUNE DI COPERTINO : FOTOVOLTAICO COPERTINO 2;;;;;;;;;61.811,25;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-L419-01;indiretti;Tricase;South;Photovoltaic;Photovoltaic;COMUNE DI TRICASE : FOTOVOLTAICO TRICASE;;;;;;;;;18.796,68;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-I553-02;indiretti;Scurcola Marsicana;Centre;Photovoltaic;Photovoltaic;COMUNE DI SCURCOLA MARSICANA : FOTOVOLTAICO SCURCOLA 1;;;;;;;;;14.270,72;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-C999-01;indiretti;Corfinio;Centre;Photovoltaic;Photovoltaic;COMUNE DI CORFINIO : FOTOVOLTAICO CORFINIO;;;;;;;;;78.339,59;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-B008-01;indiretti;Borgorose;Centre;Photovoltaic;Photovoltaic;COMUNE DI BORGOROSE : FOTOVOLTAICO BORGOROSE;;;;;;;;;94.938,52;Civismart;;Fotovoltaico → Civismart sempre · classificazione: anagrafica CVS BU
;;SEC-PHV-B506-05;indiretti;CAMPI SALENTINA;South;Photovoltaic;Photovoltaic;COMUNE DI CAMPI SALENTINA : FOTOVOLTAICO CAMPI SALENTINA 1;;;;;;;;;123.170,78;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-F415-01;indiretti;Montalto Delle Marche PV;Centre;Photovoltaic;Photovoltaic;Comune di Montalto delle Marche : Impianti Fotovoltaici Montalto delle Marche;;;;;;;;;5,028;Civismart;;Fotovoltaico → Civismart sempre · classificazione: anagrafica CVS BU
;;SEC-PHV-A515-01;indiretti;Avezzano;Centre;Photovoltaic;Photovoltaic;COMUNE DI AVEZZANO : FOTOVOLTAICO AVEZZANO 3;;;;;;;;;113.979,75;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-H166-01;indiretti;Raiano;Centre;Photovoltaic;Photovoltaic;COMUNE DI RAIANO : FOTOVOLTAICO RAIANO 1;;;;;;;;;34.136,58;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-H166-02;indiretti;Raiano;Centre;Photovoltaic;Photovoltaic;COMUNE DI RAIANO : FOTOVOLTAICO RAIANO 2;;;;;;;;;43.166,81;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-L074-02;indiretti;Taviano;South;Photovoltaic;Photovoltaic;COMUNE DI TAVIANO : FOTOVOLTAICO TAVIANO 2;;;;;;;;;53.699,96;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-A515-03;indiretti;Avezzano;Centre;Photovoltaic;Photovoltaic;COMUNE DI AVEZZANO : FOTOVOLTAICO AVEZZANO 5;;;;;;;;;7476,6;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-I457-01;indiretti;Sasso di Castalda PV;South;Photovoltaic;Photovoltaic;Comune di Sasso di Castalda : Fotovoltaico Sasso di Castalda;;;;;;;;;4,5315;Civismart;;Fotovoltaico → Civismart sempre · classificazione: anagrafica CVS BU
;;SEC-PHV-D593-01;indiretti;Filiano PV;South;Photovoltaic;Photovoltaic;Comune di Filiano : Fotovoltaico Filiano;;;;;;;;;12,084;Civismart;;Fotovoltaico → Civismart sempre · classificazione: anagrafica CVS BU
;;SEC-PHV-M269-01;indiretti;Paterno PV;South;Photovoltaic;Photovoltaic;Comune di Paterno : Fotovoltaico Paterno;;;;;;;;;4,5315;Civismart;;Fotovoltaico → Civismart sempre · classificazione: anagrafica CVS BU
;;SEC-PHV-F158-02;indiretti;MESSINA;South;Photovoltaic;Photovoltaic;COMUNE DI MESSINA : FOTOVOLTAICO MESSINA;;;;;;;;;3900;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
;;SEC-PHV-H882-01;indiretti;San Giorgio Ionico;South;Photovoltaic;Photovoltaic;COMUNE DI SAN GIORGIO IONICO : FOTOVOLTAICO SAN GIORGIO IONICO;;;;;;;;;20.100,16;Civismart;;Fotovoltaico → Civismart sempre · classificazione: storico CapEx
