;;;;;;;;;0;0;;;;0;
Società (B);Quadro (C);Altro (D);Ricla MG esteso (E);Codice Conto (F);Conto COGE (G);Cluster II (H);Conto COGE I livello (I);Conto COGE II livello (J);Valore mese € — CVS;Valore mese € — De Giorgi;Stato;Nota;;TOTALE;
CVS;SP;;Tangible Assets;100417;Impianti Specifici;Impianti e macchinari;Immobilizzazioni Materiali;BII.2 - impianti e macchinario;571.065,70;0;;Bilancio di Verifica;;571.065,70;100417
CVS;SP;;Tangible Assets;100419;Mobili E Macchine Ordinarie D'ufficio;Ufficio;Immobilizzazioni Materiali;BII. 4 - altri beni;516.770,12;0;;Bilancio di Verifica;;516.770,12;100419
CVS;SP;;Tangible Assets;100421;Macchine Elettromeccaniche D'ufficio;Ufficio;Immobilizzazioni Materiali;BII. 4 - altri beni;364.211,72;18.720,07;;Bilancio di Verifica;;382.931,79;100421
CVS;SP;;Tangible Assets;100423;Autoveicoli E Autocarri;Veicoli;Immobilizzazioni Materiali;BII. 4 - altri beni;710.845,27;214.006,57;;Bilancio di Verifica;;924.851,84;100423
CVS;SP;;Tangible Assets;100425;Autovetture;Veicoli;Immobilizzazioni Materiali;BII. 4 - altri beni;90.383,75;33.282,87;;Bilancio di Verifica;;123.666,62;100425
CVS;SP;;Tangible Assets;100427;Appar. Radiomobili Detr. 80%;Ufficio;TBD;TBD;46.069,52;0;;Bilancio di Verifica;;46.069,52;100427
CVS;SP;;Tangible Assets;100429;F/Amm Fabbricati Ind.Li E Comm. Li;Terreni e fabbricati;Immobilizzazioni Materiali;Bll.1 - terreni e fabbricati;-299.457,10;-233.803,90;;Bilancio di Verifica;;-533.261,00;100429
CVS;SP;;Tangible Assets;100431;F/Amm Costruzioni Leggere;Terreni e fabbricati;Immobilizzazioni Materiali;Bll.1 - terreni e fabbricati;-74.989;0;;Bilancio di Verifica;;-74.989,00;100431
CVS;SP;;Tangible Assets;100433;F/Amm Macchinari;Impianti e macchinari;Immobilizzazioni Materiali;BII.2 - impianti e macchinario;-36.919,34;-31.725,72;;Bilancio di Verifica;;-68.645,06;100433
CVS;SP;;Tangible Assets;100435;F/Amm Attrezzatura Industriali E  Commerciali;Attrezzature industriali e commerciali;Immobilizzazioni Materiali;BIL.3 - attrezzature industriali e commerciali;-652.334,16;-41.194,32;;Bilancio di Verifica;;-693.528,48;100435
CVS;SP;;Tangible Assets;100437;F/Amm Attrezzatura Varia E Minuta;Attrezzature industriali e commerciali;Immobilizzazioni Materiali;BIL.3 - attrezzature industriali e commerciali;-74.803,03;-40.456,09;;Bilancio di Verifica;;-115.259,12;100437
CVS;SP;;Tangible Assets;100439;F/Amm Impianti Generici;Impianti e macchinari;Immobilizzazioni Materiali;BII.2 - impianti e macchinario;-329.143,84;-3971,97;;Bilancio di Verifica;;-333.115,81;100439
CVS;SP;;Tangible Assets;100441;F/Amm Impianti Specifici;Impianti e macchinari;Immobilizzazioni Materiali;BII.2 - impianti e macchinario;-478.748,50;0;;Bilancio di Verifica;;-478.748,50;100441
CVS;SP;;Tangible Assets;100443;F/Amm Mobili E Macchine Ordinarie D'ufficio;Ufficio;Immobilizzazioni Materiali;BII. 4 - altri beni;-395.317,49;0;;Bilancio di Verifica;;-395.317,49;100443
CVS;SP;;Tangible Assets;100445;F/Amm Macchine Elettromeccaniche D'ufficio;Ufficio;Immobilizzazioni Materiali;BII. 4 - altri beni;-237.452,24;-16.375,74;;Bilancio di Verifica;;-253.827,98;100445
CVS;SP;;Tangible Assets;100447;F/Amm Autoveicoli E Autocarri;Veicoli;Immobilizzazioni Materiali;BII. 4 - altri beni;-666.067,87;-155.726,02;;Bilancio di Verifica;;-821.793,89;100447
CVS;SP;;Tangible Assets;100449;F/Amm Autovetture;Veicoli;Immobilizzazioni Materiali;BII. 4 - altri beni;-88.911,25;-33.282,87;;Bilancio di Verifica;;-122.194,12;100449
CVS;SP;;Tangible Assets;100451;F/Amm Appar. Radiomobili;Ufficio;TBD;TBD;-43.338,58;0;;Bilancio di Verifica;;-43.338,58;100451
CVS;SP;;Tangible Assets;100453;Arredamento;Ufficio;Immobilizzazioni Materiali;BII. 4 - altri beni;6766;32.643,96;;Bilancio di Verifica;;39.409,96;100453
CVS;SP;;Tangible Assets;100455;F/Amm Arredamento;Ufficio;Immobilizzazioni Materiali;BII. 4 - altri beni;-6367,3;-24.502,75;;Bilancio di Verifica;;-30.870,05;100455
CVS;SP;FV;Tangible Assets;100457;Immobiliazioni Materiali In Corso - FV Lizzano;Fotovoltaico in corso;Immobilizzazioni Materiali;BII.5 - immobilizzazioni in corso e acconti;81.349,91;0;;Bilancio di Verifica;;81.349,91;100457
CVS;SP;FV;Tangible Assets;100459;Fornitori Imm. Materiali c/acconti - FV Mucca Nera;Fotovoltaico in corso;Immobilizzazioni Materiali;BII.5 - immobilizzazioni in corso e acconti;5035,95;0;;Bilancio di Verifica;;5.035,95;100459
CVS;SP;;Tangible Assets;100461;Fornitori Imm. Materiali c/acconti;Immobilizzazioni in corso;Immobilizzazioni Materiali;BII.5 - immobilizzazioni in corso e acconti;46.863,20;0;;Bilancio di Verifica;;46.863,20;100461
CVS;SP;;Tangible Assets;100463;Fabbricati Ind.Li e Comm. Li (MiniPia);Terreni e fabbricati;Immobilizzazioni Materiali;Bll.1 - terreni e fabbricati;542.422,65;0;;Bilancio di Verifica;;542.422,65;100463
